PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
1,1.53528,-5.59312,0,1.898,-5.992,0,2,60,70
1,1.53528,-5.59312,0,1.898,-5.992,0,2,60,70
2,1.4348,-4.5624,0,1.73,-4.94,0,2,40,74
2,1.4348,-4.5624,0,1.73,-4.94,0,2,40,74
3,1.3412,-3.5248,0,1.57,-3.88,0,2,20,89
3,1.3412,-3.5248,0,1.57,-3.88,0,2,20,89
4,1.2324,-2.4424,0,1.39,-2.74,0,2,2,60
4,1.2324,-2.4424,0,1.39,-2.74,0,2,2,60
5,1.1236,-1.3224,0,1.21,-1.54,0,1,63,56
5,1.1236,-1.3224,0,1.21,-1.54,0,1,63,56
6,1.0148,0.2624,0,1.03,-0.44,0,1,44,34
6,1.0148,0.2624,0,1.03,-0.44,0,1,44,34
7,0.54,0.3636,0,0.9,0.61,0,1,24,88
7,0.54,0.3636,0,0.9,0.61,0,1,24,88
8,0.4612,1.45,0,0.77,1.75,0,1,16,20
8,0.4612,1.45,0,0.77,1.75,0,1,16,20
9,0.4124,2.54,0,0.69,2.9,0,1,7,21
9,0.4124,2.54,0,0.69,2.9,0,1,7,21
10,0.37336,4.0036,0,0.626,4.01,0,0,70,50
10,0.37336,4.0036,0,0.626,4.01,0,0,70,50
11,0.35528,5.00504,0,0.598,5.014,0,0,70,11
11,0.35528,5.00504,0,0.598,5.014,0,0,70,11
12,0.34192,6.03252,0,0.572,6.057,0,0,60,84
12,0.34192,6.03252,0,0.572,6.057,0,0,60,84
13,0.3412,7.0224,0,0.57,7.04,0,0,60,83
13,0.3412,7.0224,0,0.57,7.04,0,0,60,83
14,0.3524,8.0824,0,0.59,8.14,0,0,71,1
14,0.3524,8.0824,0,0.59,8.14,0,0,71,1
15,0.3636,9.1124,0,0.61,9.19,0,0,71,35
15,0.3636,9.1124,0,0.61,9.19,0,0,71,35
16,0.39288,10.09252,0,0.658,10.157,0,0,71,82
16,0.39288,10.09252,0,0.658,10.157,0,0,71,82
17,0.42,11.0748,0,0.7,11.13,0,1,1,40
17,0.42,11.0748,0,0.7,11.13,0,1,1,40
18,0.44528,12.0748,0,0.748,12.13,0,1,1,90
18,0.44528,12.0748,0,0.748,12.13,0,1,1,90
19,0.4724,13.0448,0,0.79,13.08,0,1,10,46
19,0.4724,13.0448,0,0.79,13.08,0,1,10,46
20,0.49336,14.0112,0,0.826,14.02,0,1,10,91
20,0.49336,14.0112,0,0.826,14.02,0,1,10,91
21,0.51252,14.5812,0,0.857,14.97,0,1,27,27
21,0.51252,14.5812,0,0.857,14.97,0,1,27,27
22,0.54,16.0112,0,0.9,16.02,0,1,20,81
22,0.54,16.0112,0,0.9,16.02,0,1,20,81
23,0.55408,17.03252,0,0.928,17.057,0,1,30,14
23,0.55408,17.03252,0,0.928,17.057,0,1,30,14
24,0.5924,18.0336,0,0.99,18.06,0,1,30,84
24,0.5924,18.0336,0,0.99,18.06,0,1,30,84
25,1.0318,19.0206,0,1.055,19.035,0,1,40,62
25,1.0318,19.0206,0,1.055,19.035,0,1,40,62
